trial,epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
7,1,4.768082473279824,0.14650962739949236,281.5384678426377,0.1254482651295102,0.15233584377738826,0.137394811223881
7,2,4.586836417871655,0.14114214220321136,6262451151986374.0,0.1332111737372811,0.15886582462456028,0.1463106478250997
7,3,4.532139247962559,0.14091715764559365,389281364975288.06,0.12643588442489267,0.15605859260002522,0.16652324697787038
7,4,4.4978415624674,0.13926295144970202,58128810319483.77,0.1325370080208205,0.16573901062770743,0.1701138721137048
7,5,4.480649396077099,0.13843649914991177,8.731305600858358e+17,0.13464416277890323,0.16090212850337215,0.16431420495942267
7,6,4.463463906473762,0.13875188345076575,1.3144087043691537e+28,0.13396651374053137,0.15721778773715686,0.1541298419688434
7,7,4.446885244958353,0.13819015078094077,inf,0.13740215226758823,0.16334437999404788,0.1480615875306735
7,8,4.4334405986876915,0.13811488040375688,inf,0.1379037063768546,0.1586361132841575,0.15411843403076597
7,9,4.4297713159536976,0.13901803760305825,inf,0.13103699663498397,0.1566619935415078,0.146640871848097
7,10,4.415076816908732,0.13848537100699668,inf,0.12326849453262174,0.15966026311233142,0.14185600706607449
