trial,epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
14,1,4.711275331639905,0.14517942224126243,0.7248644417919258,0.12576141563205548,0.15140693643949646,0.15100533136464003
14,2,4.558629293873645,0.14570885250435733,0.7129223622894402,0.14379769896475098,0.16060856009461158,0.1526814224202204
14,3,4.4964096441759445,0.1409894445990553,0.7066963504633188,0.12245472263025485,0.15114977667668705,0.14357542873022644
14,4,4.4651701410804,0.14633233005907842,0.7115336160073285,0.11635055635004543,0.1432400266473549,0.13909066278150753
14,5,4.440131173754112,0.14292219428683045,0.7115512076815597,0.1451713490170312,0.1592838577123859,0.1667491683403669
14,6,4.428562559501208,0.1404286400189474,0.7102573599588476,0.1254618759666067,0.16417129901998034,0.18163609142964984
14,7,4.412250381328257,0.1397838429799336,0.7097866579570616,0.135479115176607,0.1528276502667691,0.14273914941863142
14,8,4.397183017991969,0.138116254510994,0.7069952806635542,0.14351530883693972,0.16645261712107898,0.1489892597162742
14,9,4.385279175953504,0.14288787032519742,0.7116445838319598,0.12036825634106267,0.14763217232895126,0.13289258661554304
14,10,4.376540604252625,0.1392878018358547,0.719927327769471,0.15408327813462455,0.1641832475182552,0.16535177803706935
