trial,epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
11,1,4.9893736042807095,0.14684333699716431,0.733021970078161,0.1294335862210903,0.15250758652572957,0.15108764076296863
11,2,4.83994306186287,0.1472341402795633,0.7206051063789574,0.13988996049173938,0.17415577917251035,0.15959627311724134
11,3,4.800922456174878,0.14835751686287388,0.7266256312072238,0.10570524986567569,0.1493790400188533,0.12452066060999925
11,4,4.782216038754848,0.14378886333364954,0.7179793435124963,0.12260854476714551,0.16500570334816891,0.14740301674307854
11,5,4.76582098249353,0.14662610949990615,0.7211798212924186,0.1356603218811065,0.15835432661210513,0.13280489770846315
11,6,4.756563015931962,0.1456515532711404,0.7193545762746423,0.1358137859992783,0.1614252039007561,0.15707839772859308
11,7,4.7395171798415765,0.14342500382786105,0.7153730069289961,0.16250235827313994,0.18143898978719128,0.1923159211053926
11,8,4.729189078517583,0.14354922410258084,0.715587018866324,0.13102676838173782,0.16286864882495644,0.14166355810503453
11,9,4.725897669943519,0.14243465925660959,0.7171757407143683,0.1178791848924911,0.155950936959786,0.13290314062302844
11,10,4.714577450245852,0.14248344124674486,0.7162513123064234,0.13349143273036868,0.16292013709135506,0.15926456080392623
