trial,epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,val_mean_brier
13,1,5.700910485129654,0.1541576810471824,0.7568742775611187,0.15384523851483414,0.1720282744222011,0.15144526620907134,0.15910625971536888
13,2,5.592461786243478,0.15085399906786764,0.7507612088032606,0.19015818675161156,0.18644224387915714,0.18590669480201039,0.18750237514425971
13,3,5.5525127957704346,0.15248782483539314,0.7532553662783072,0.17206129433194964,0.17482097186526746,0.16333133101559513,0.1700711990709374
13,4,5.530163325690157,0.15056467812111293,0.7501939898952574,0.1885438576054547,0.18487014327612217,0.1876949889489731,0.18703632994351663
13,5,5.518873675382815,0.14955785205959624,0.7510548950921592,0.20259904205516274,0.191506076239074,0.19510197690236447,0.19640236506553377
13,6,5.500621506893957,0.15009081995345283,0.750496271710458,0.18797957605469223,0.18373738401946482,0.17334644338508678,0.18168780115308128
13,7,5.482236434732462,0.14999873468748992,0.749098524244002,0.17590069711747214,0.18020615907112517,0.16877323890420903,0.1749600316976021
13,8,5.467442563912186,0.14976581322628463,0.7481983038452685,0.16885876830323707,0.17686069371801827,0.15976589983020204,0.16849512061715247
13,9,5.457630513009909,0.15035233637780834,0.7502837618354159,0.15861481895361798,0.17237777246259275,0.15365137282305516,0.16154798807975532
13,10,5.440678827511798,0.1498351038265941,0.7487071260093645,0.1668291771786074,0.1720714877849754,0.16043579508802708,0.16644548668386996
