epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,flash_pr_auc,flash_roc_auc,peak_pr_auc,peak_roc_auc,acc_pr_auc,acc_roc_auc,flash_n_valid,peak_n_valid,acc_n_valid
1,4.6291185851242895,0.14031062857085638,0.710755422545876,0.15657834956444883,0.16987586713678735,0.1662924354477048,0.3786558470159694,0.9024437753208865,0.624215529090423,0.8578781716383941,0.26042346111736386,0.8568640094288018,311584,311631,311255
2,4.419499989879567,0.13729524023251655,0.7086191667446247,0.13789016034050464,0.15134934046722334,0.1520517661052023,0.39119768932788096,0.9044603526060222,0.6300762478037292,0.8588526746965346,0.27344412168147697,0.8595820691287621,311584,311631,311255
3,4.35408398595699,0.138996726046365,0.7364401061688988,0.1377991793936989,0.17843997553877108,0.1873286249806201,0.3948261981791482,0.9066789796305226,0.6347481388470777,0.8624463655718078,0.2790219171843189,0.8641955607257931,311584,311631,311255
4,4.323574877647568,0.13716821456514625,0.7114188959246066,0.1271028192351605,0.15607645354898983,0.13758735175427855,0.3991259603633621,0.9084919893851305,0.6378928123548795,0.8655081787722186,0.2790812590748796,0.8682736926106163,311584,311631,311255
5,4.289317399330054,0.1371130789110911,0.7047648816259954,0.12166029239415395,0.15213577868885755,0.14852583877039158,0.4037907745553547,0.909537698958669,0.640722205567704,0.864970719030588,0.2867963888443753,0.8682556500519325,311584,311631,311255
6,4.253151013213783,0.1361931108578371,0.7017465605321811,0.12293655833778719,0.16018517108358526,0.14310789940064947,0.4074611380505706,0.9102462219876011,0.6381216102144613,0.8642828357043695,0.2845156259371146,0.8697544382878001,311584,311631,311255
7,4.235922479456169,0.13596677858924383,0.6996635476211231,0.12464679066964231,0.1626272746807072,0.15728534307540334,0.4070292970824317,0.9102252045508056,0.6398300931302141,0.8650373698515335,0.2820766182366232,0.8676884886510434,311584,311631,311255
8,4.214609677604026,0.13696692988377077,0.6993545471047269,0.14334860538841482,0.16489283214972367,0.17968198642458572,0.408317013215212,0.9090975386951567,0.6414866452942888,0.8645867125809233,0.29056271658769306,0.8690572337121741,311584,311631,311255
9,4.195658885837045,0.13824364782768572,0.7070993653491289,0.11861422106003672,0.14193398201363827,0.12602300711068753,0.40946007686926944,0.9113406417416099,0.6443138806759119,0.8669024123874638,0.28535559003924954,0.8696625635735782,311584,311631,311255
10,4.173651969983985,0.13671110849503026,0.7038823768447027,0.1250342678108776,0.15030636665036476,0.14016037940783585,0.4111019484197726,0.9111473566085073,0.644418270083704,0.8658070856944738,0.2925489049932756,0.8689855962251511,311584,311631,311255
11,4.158179027566618,0.13505505377634425,0.6988064818419288,0.1408935844523494,0.155723928701775,0.1474047083741516,0.4117624370667139,0.9110181764390759,0.6438561074175515,0.8657965354523798,0.2913093503389404,0.8689976196964901,311584,311631,311255
12,4.140270069585995,0.13643909141604663,0.6992673908477124,0.13530042455691052,0.15928678118724074,0.1591564093214233,0.40864530221302475,0.909334958121906,0.6401686143565566,0.8639069812664475,0.2842619648553839,0.8664428229041269,311584,311631,311255
13,4.121919057068764,0.13539467021362137,0.7008942418727896,0.11760505280392898,0.15993363017492457,0.1467336839551083,0.4134653065298338,0.9122885964556307,0.645230702142432,0.8675063015116682,0.2920064973055949,0.8717953889123012,311584,311631,311255
14,4.109743196736691,0.13694209716354175,0.702340910212828,0.11768031006065931,0.1534413726636508,0.13809800668293012,0.41190180268202037,0.9118790790087588,0.6462167229460876,0.8666897009273695,0.28786136660209116,0.8696305113751824,311584,311631,311255
15,4.095945682457185,0.13577857359680784,0.7096092346605426,0.12474242839690325,0.15792747791020126,0.15073323384635628,0.4199652231203495,0.9132342524342973,0.6467166886527496,0.8667159423805558,0.2864696109446678,0.8683759299808889,311584,311631,311255
16,4.078035767857571,0.13642378732154814,0.701504709205561,0.11268388082849164,0.1532512717525927,0.13536332172002422,0.4173879317667168,0.9127503358533007,0.6449702006304909,0.8658365041014937,0.28329581101635526,0.867052206910392,311584,311631,311255
17,4.072461472917278,0.13546025569433873,0.7152779509036766,0.14232753497572181,0.15698685297770348,0.15264036951033128,0.41807574777998535,0.9130468018692934,0.6464428653036927,0.8657185140203956,0.2869663387114396,0.8698734292967376,311584,311631,311255
18,4.055966913077833,0.1354205757886567,0.7106869039669282,0.09821118004852458,0.1494310700815009,0.1388771468015619,0.41912458908045946,0.9122568879734116,0.6441523004156886,0.8654370557302407,0.2852922300237525,0.8666759178820879,311584,311631,311255
19,4.043420750733901,0.13642905449708892,0.705204581565188,0.11860174722147583,0.15052597836756498,0.13326023447391427,0.41468716526504745,0.9121483824804254,0.6430782565279451,0.8648524768602912,0.29022001410220166,0.8685116023278057,311584,311631,311255
20,4.0253140505883875,0.13604146753841823,0.6997508900708564,0.10185225240519588,0.14133541258366164,0.10781647146936152,0.41753940402535117,0.9130469031792976,0.6462918792009769,0.865352039143794,0.2897391394309655,0.8647070593324061,311584,311631,311255
21,4.015933924340028,0.13558874950940536,0.6995555721357212,0.11974114420924398,0.1520622793957694,0.13807743192196276,0.4170498085864249,0.9121854772262294,0.6468842326690069,0.8668849135649989,0.2853648895895553,0.8668429774600861,311584,311631,311255
