epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,flash_pr_auc,flash_roc_auc,peak_pr_auc,peak_roc_auc,acc_pr_auc,acc_roc_auc,flash_n_valid,peak_n_valid,acc_n_valid
1,4.614455076227608,0.14087254204219435,0.7141972238178452,0.14450216022283477,0.15816929944118469,0.1497510465453928,0.38200209982894795,0.9037017521762882,0.6223660515205579,0.8586040841250567,0.25795723863151493,0.8581314739429521,311584,311631,311255
2,4.411121634251142,0.13685715366893153,0.7053268446886379,0.11566451704762257,0.15150724125653034,0.1363795443744706,0.38966618833947964,0.9047717654105184,0.6310565515846318,0.8620755950007722,0.26601946789221065,0.8633198354763453,311584,311631,311255
3,4.352302678723908,0.13732026514673495,0.7038285583462518,0.12835694802067824,0.1519283437438779,0.1430296072768089,0.39632521742488436,0.9063581050293078,0.6332399698827413,0.8633812469388624,0.27007080919407195,0.86464313579788,311584,311631,311255
4,4.305961190787471,0.13612394925338323,0.7036301254407171,0.12351886273550301,0.15625117730814964,0.15351427283497027,0.4013613107850408,0.9083919101787594,0.6377260940482923,0.8639273072850231,0.27470673282603586,0.8668674048104994,311584,311631,311255
5,4.279529847799176,0.13719248774425752,0.7163541990422355,0.1361709613306774,0.16587270833790443,0.1760364241715458,0.40515827332065035,0.9096791938186669,0.6338699585982526,0.8617553366133426,0.2748018859315366,0.864167868789381,311584,311631,311255
6,4.24746993697463,0.13645720808038272,0.7030627790453944,0.12751013783661855,0.1570338728644035,0.1421625840143103,0.4075891764289584,0.9096482659708223,0.6358952065733035,0.8620043045895313,0.2774934299272768,0.8646352833243447,311584,311631,311255
7,4.2260059547637665,0.1358603516870214,0.7147521534218706,0.13904713436060903,0.1569691893208688,0.1587636151801479,0.4034349736045872,0.9095803296094402,0.6405718803401659,0.8643946891457931,0.2800245008975575,0.8688030409740848,311584,311631,311255
8,4.201461490679819,0.13516748006673018,0.6996952639791291,0.12276036852203043,0.1412455596537724,0.127239899159061,0.40800722762398656,0.9120543441799596,0.6463058726162735,0.868014182767888,0.2818556043868937,0.8702184420876728,311584,311631,311255
9,4.179745269212858,0.13577291379092124,0.7104086118459438,0.13247625583558237,0.15951726960862092,0.1629735680074686,0.41290697202897725,0.9117238673318673,0.6414084644755069,0.8661974633749183,0.27767345911265473,0.8691616078219724,311584,311631,311255
10,4.160710845395401,0.13647902034383708,0.6987070614278953,0.11923686103434616,0.14366490223023598,0.12422447246647263,0.4131975487665707,0.9115687620253167,0.6465458596241178,0.8674699908098111,0.2872430823739798,0.8698577469021747,311584,311631,311255
11,4.147936696796432,0.1339625224115356,0.6964725599898421,0.12908545054218495,0.1561370417652117,0.1358574298769463,0.415092035309457,0.9124945294353382,0.648099766212799,0.8689479464150646,0.2834409388492781,0.8710038201130696,311584,311631,311255
12,4.131973466839389,0.1354138000173825,0.7051739855592369,0.13267319195198124,0.15358875396544241,0.13884609400247166,0.4198796665608623,0.9128790752570871,0.6487068595571434,0.8675275731563732,0.28330451994653383,0.8699822424917439,311584,311631,311255
13,4.113494383986542,0.13481333068099832,0.6985774124986314,0.12275999417714921,0.15707952123826652,0.13728779468706218,0.41366223137541214,0.91190136276897,0.6392616028685962,0.8646397192927211,0.27794001227672843,0.8680834531454082,311584,311631,311255
14,4.098986490860882,0.13455192430004906,0.697762420241768,0.1240417199210489,0.143026278607467,0.12979763785045415,0.41655978802296456,0.9122209304608041,0.6480957792273929,0.8664156987789475,0.29254461812019417,0.8714081520788202,311584,311631,311255
15,4.085300445734433,0.13525088625929224,0.697422032985992,0.11728267521567176,0.14205040059462937,0.12512398264692295,0.4109841866439763,0.9113767392912875,0.6494584871260691,0.8679976456406351,0.2859747594038894,0.869999086561541,311584,311631,311255
16,4.072683657020175,0.13440342209316491,0.7003933081895402,0.1359418429958403,0.15192087488114742,0.13907669066116057,0.4167119908194763,0.9132088209381768,0.6430301107337973,0.8648850914690475,0.2818871302318282,0.8685929917843555,311584,311631,311255
