trial,epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,val_mean_brier
8,1,5.734316525554408,0.15402175248868724,0.7549021122318873,0.18523982687566987,0.179060733762707,0.17914185712127048,0.18114747258654915
8,2,5.615558245604737,0.1520674600699481,0.7539195774881295,0.1635605097494011,0.17516830214609094,0.14925282854480745,0.16266054681343314
8,3,5.546999546005422,0.15118161311968803,0.75241197179302,0.1815819861472163,0.18218021649432958,0.1788331634810977,0.1808651220408812
8,4,5.501611287953536,0.15147263476223624,0.7604585790080848,0.1856063956481081,0.1858690850588035,0.1836400655164683,0.18503851540779329
8,5,5.4601845960733515,0.15197440222625735,0.7568954208677425,0.1662978920864627,0.178834972477354,0.16775325357540033,0.170962039379739
8,6,5.420553813839163,0.15142194675135362,0.7600825601498138,0.19052889981821844,0.18860612358641057,0.18517920229319335,0.18810474189927415
8,7,5.388922165973719,0.15132563746490404,0.7739378064866771,0.1912548832535215,0.18823405784935368,0.18763686401777022,0.18904193504021513
8,8,5.3424886175105595,0.15116510880512898,0.7621612659315001,0.17921567220489867,0.184577275409368,0.18114141276368337,0.18164478679265003
8,9,5.310717227086036,0.15184544019781404,0.7555212813423846,0.1605845972557172,0.17514101668879714,0.16087577311425671,0.165533795686257
8,10,5.269693951145381,0.1526167527658712,0.7563167248255643,0.1559592946589249,0.17121228189900892,0.1460056345620208,0.15772573703998485
