trial,epoch,train_loss,val_CRPS_log,val_mean_brier,val_obj
0,1,4.778833499690831,0.14819406880266991,0.1670925314686893,0.15764330013567962
0,2,4.612685242488614,0.14111773924292018,0.15792101359295338,0.14951937641793678
0,3,4.581941795740263,0.14369147331437634,0.16500391213781015,0.15434769272609325
0,4,4.568400034346214,0.14173758835840047,0.17057703939250488,0.15615731387545267
0,5,4.545987205661827,0.14413553208943444,0.1699209271014839,0.15702822959545917
0,6,4.537503593986733,0.14378520281407786,0.15265311272386017,0.14821915776896902
0,7,4.535633919223043,0.14054188932347328,0.16012216838660934,0.15033202885504132
0,8,4.535453392621921,0.14465322650527704,0.14672482584622573,0.14568902617575138
0,9,4.513514212047227,0.1408697375897902,0.13991376523968996,0.14039175141474008
0,10,4.507561022803287,0.1399004599452668,0.1475336693061755,0.14371706462572115
